date,city,temperature,rainfall,rolling_temp,month,anomaly
2015-01-01,Pune,26.006996675872166,83.17454525816615,,1,1
2015-01-01,Delhi,32.20638973306344,22.804048412899824,,1,1
2015-01-01,Mumbai,27.83110761674158,31.9912626347562,,1,1
2015-01-02,Pune,25.41632556108312,34.4099325879738,,1,1
2015-01-02,Delhi,28.57887769183638,10.102140615287237,,1,1
2015-01-02,Mumbai,26.55651502142488,40.67772701192348,,1,1
2015-01-03,Pune,25.08016202703709,32.35531571340243,27.382339189579806,1,1
2015-01-03,Delhi,28.95004492695248,20.404749423235547,27.802774654019853,1,1
2015-01-03,Mumbai,29.292489882811115,10.800926347283246,27.38650324684095,1,1
2015-01-04,Pune,21.38129999874068,96.3148337394307,26.46510215855511,1,1
2015-01-04,Delhi,29.03972465620865,66.04342138935411,26.9827306007159,1,1
2015-01-04,Mumbai,30.52890539330039,28.71765314582288,27.261305986639325,1,1
2015-01-05,Delhi,28.64666026869331,66.08854754676503,27.55989816482053,1,1
2015-01-05,Mumbai,25.994790705320664,10.6944851686002,27.69055940457533,1,1
2015-01-05,Pune,29.39171367697656,7.0369237429213305,27.753654940293053,1,1
2015-01-06,Mumbai,29.9812712388714,1.891676110725216,27.852052276873092,1,1
2015-01-06,Pune,26.090684574811565,1.107850686115064,28.524821502026075,1,1
2015-01-06,Delhi,28.31853839712257,24.01899916281519,28.421794893585208,1,1
2015-01-07,Mumbai,25.62492101575887,39.1021138144278,27.721225696793564,1,1
2015-01-07,Pune,23.90516421791972,98.6241364410756,27.043869118111623,1,1
2015-01-07,Delhi,31.103115641219592,75.44388693871406,27.77362982324004,1,1
2015-01-08,Mumbai,29.645101740037983,23.378880129796308,27.8098281179631,1,1
2015-01-08,Pune,26.001455879339733,8.192778343007834,27.241283066601433,1,1
2015-01-08,Delhi,30.32520806356009,34.1715434951401,27.846214993565507,1,1
2015-01-09,Mumbai,31.12591163792192,98.5766723263404,28.2472683136797,1,1
2015-01-09,Delhi,31.810008052094844,28.18375457640334,29.13085217601341,1,1
2015-01-09,Pune,23.90592303684766,5.460037386109617,29.130960578717403,1,1
2015-01-10,Delhi,31.299133037264408,93.45088933175634,29.15896306386666,1,1
2015-01-10,Mumbai,29.84254835960691,52.23124415763986,29.18716972380508,1,1
2015-01-10,Pune,25.84623221671965,62.85743180963696,29.164994914859356,1,1
2015-01-11,Delhi,31.009834030708507,50.62879779458468,29.262798624451985,1,1
2015-01-11,Mumbai,29.40157064893013,29.9910892153052,29.01646419745316,1,1
2015-01-11,Pune,24.86164305873589,44.38742635101895,28.023840626973307,1,1
2015-01-12,Delhi,31.070549074638247,80.62070420196846,29.04735863237196,1,1
2015-01-12,Mumbai,29.51207515096508,19.739234572619324,28.792064648614915,1,1
2015-01-12,Pune,25.89531773996228,41.16254380844266,28.228174560094253,1,1
2015-01-13,Mumbai,27.047292116167103,51.296063165385455,28.399754545729603,1,1
2015-01-13,Pune,23.64077573080513,41.13510369556127,27.347031931457696,1,1
2015-01-13,Delhi,31.03043092342916,99.16454074416396,27.579726256386127,1,1
2015-01-14,Pune,26.44611884454488,34.46590301902967,27.806079940073126,1,1
2015-01-14,Delhi,33.03063248426931,75.4404782415289,28.086091855734708,1,1
2015-01-14,Mumbai,24.860397688457105,89.58536522249342,27.421566503947854,1,1
