date,city,temperature,rainfall
2015-01-01,Pune,26.006996675872166,83.17454525816615
2015-01-02,Pune,25.41632556108312,34.4099325879738
2015-01-03,Pune,25.080162027037094,32.35531571340243
2015-01-04,Pune,21.381299998740676,96.3148337394307
2015-01-05,Pune,29.391713676976558,7.0369237429213305
2015-01-06,Pune,26.090684574811565,1.1078506861150639
2015-01-07,Pune,23.90516421791972,98.6241364410756
2015-01-08,Pune,26.001455879339733,8.192778343007834
2015-01-09,Pune,23.90592303684766,5.460037386109617
2015-01-10,Pune,25.84623221671965,62.85743180963696
2015-01-11,Pune,24.86164305873589,44.38742635101895
2015-01-12,Pune,25.895317739962277,41.16254380844266
2015-01-13,Pune,23.640775730805135,41.13510369556127
2015-01-14,Pune,26.44611884454488,34.46590301902967
2015-01-15,Pune,27.512646613778344,62.113484872844815
2015-01-16,Pune,25.233848981078218,33.70398380631424
2015-01-17,Pune,24.743924693722317,17.55600811426602
2015-01-18,Pune,25.177803238484607,98.80119968011772
2015-01-19,Pune,25.487681304286838,31.202072974138606
2015-01-20,Pune,24.25875541207651,90.64489975036261
2015-01-21,Pune,25.039975967655998,70.20460136927906
2015-01-22,Pune,25.967892280079063,9.177793444479299
2015-01-23,Pune,26.892448886034035,6.0860757711665325
2015-01-24,Pune,24.103934085916695,10.012752405128488
2015-01-25,Pune,26.342880041182944,81.486053276751
2015-01-26,Pune,27.024588680341285,18.363702930792016
2015-01-27,Pune,27.74719375391539,2.894562616172436
2015-01-28,Pune,22.409972470622094,89.99119553420961
2015-01-29,Pune,25.235291111916617,32.692362022714704
2015-01-30,Pune,25.22980007800281,89.86838188307604
2015-01-31,Pune,25.826674492212625,36.99410190324768
2015-02-01,Pune,24.510931059411824,39.51071535103951
2015-02-02,Pune,29.361617010187153,8.161578802465264
2015-02-03,Pune,22.87527780809178,4.581647498971108
2015-02-04,Pune,26.507948147989,34.968785853163666
2015-02-05,Pune,29.414597322763196,70.99314196214624
2015-02-06,Pune,27.785743053174638,87.41269990996356
2015-02-07,Pune,25.185985301877558,37.76412306924436
2015-02-08,Pune,26.98489720625064,13.420131533363989
2015-02-09,Pune,27.92827842895474,33.83941707351106
2015-02-10,Pune,25.217465215554338,60.039168424131816
2015-02-11,Pune,26.197712198455942,88.30180550743437
2015-02-12,Pune,24.535615446489256,38.13278989245138
2015-02-13,Pune,22.805956890543886,18.306719676678174
2015-02-14,Pune,26.389964302272972,22.793750467499386
2015-02-15,Pune,31.307959262634895,16.29141593033112
2015-02-16,Pune,30.216595510942405,50.99322244049381
2015-02-17,Pune,27.167916285248552,5.591111746854017
2015-02-18,Pune,31.01977352259818,59.69659710502027
2015-02-19,Pune,26.07799429561841,19.52621109919307
2015-02-20,Pune,25.903308796361657,78.30687251398531
2015-02-21,Pune,28.580695539723095,56.32621502740635
2015-02-22,Pune,29.65579351758215,5.92510628165579
2015-02-23,Pune,27.3353814972957,58.67920716499408
2015-02-24,Pune,25.670046829214307,89.56161753098444
2015-02-25,Pune,25.25766506317595,38.38979814302004
2015-02-26,Pune,27.078906449767555,64.86638587979735
2015-02-27,Pune,22.37105520493366,24.53360853027996
2015-02-28,Pune,26.68870260990121,64.63099065119195
2015-03-01,Pune,24.197340059958858,8.718491758569446
2015-03-02,Pune,27.383482190442393,27.173528027896033
2015-03-03,Pune,28.08187955863347,23.63863853157072
2015-03-04,Pune,26.01989423277488,92.75257439803319
2015-03-05,Pune,24.972933386214617,97.3862746269659
2015-03-06,Pune,29.070435685597978,52.781948417583145
2015-03-07,Pune,27.905586465367527,76.37754071627818
2015-03-08,Pune,28.28394179166706,0.7427692516009499
2015-03-09,Pune,26.016409579721373,47.773811420791205
2015-03-10,Pune,27.78998405190064,18.09431363110524
2015-03-11,Pune,25.011504932556424,21.237248525899233
2015-03-12,Pune,27.765516510533928,33.47428478929063
2015-03-13,Pune,28.707637147148663,94.97339789728588
2015-03-14,Pune,24.133317818691946,99.42882512677518
2015-03-15,Pune,25.839129232199433,20.731367332585627
2015-03-16,Pune,27.513445488878062,68.40513410144993
2015-03-17,Pune,25.84920364756721,85.894842738004
2015-03-18,Pune,29.81931966186775,76.79586139216025
2015-03-19,Pune,25.861703472601622,55.68798160640866
2015-03-20,Pune,26.891625927953275,84.12681868441909
2015-03-21,Pune,25.74541907340942,17.252128931743705
2015-03-22,Pune,26.730175573158903,20.972340801155386
2015-03-23,Pune,25.185797587925727,67.52835854878158
2015-03-24,Pune,31.044394465021416,10.298303485613136
2015-03-25,Pune,30.697906958012275,52.365581836704386
2015-03-26,Pune,30.060474871155904,44.82219898350587
2015-03-27,Pune,23.439032029581767,87.50700678518163
2015-03-28,Pune,29.334872925037548,36.37099370966542
2015-03-29,Pune,27.740587452053,6.265596720002298
2015-03-30,Pune,26.86706717660777,1.7322172469670827
2015-03-31,Pune,26.11758034267992,99.63776736678595
2015-04-01,Pune,27.323424780351164,13.743713604019714
2015-04-02,Pune,28.7398598579385,55.09803710564578
2015-04-03,Pune,28.24970217377075,24.328473811615414
2015-04-04,Pune,26.124429664426707,93.98387712618992
2015-04-05,Pune,27.32322607859824,10.258422063836491
2015-04-06,Pune,29.641504732578422,65.06102651678658
2015-04-07,Pune,29.387307320689544,92.62888484761828
2015-04-08,Pune,29.635657572327634,43.488908048413286
2015-04-09,Pune,31.429218102175355,39.04301224226533
2015-04-10,Pune,28.50759776107507,25.288625868135107
2015-04-11,Pune,26.308158555636556,49.85033683552974
2015-04-12,Pune,27.742077656514073,87.2511878055605
2015-04-13,Pune,28.160111017040713,15.44077005770399
2015-04-14,Pune,24.959518812324404,96.27869808784702
2015-04-15,Pune,27.151260563104145,2.3414509369994674
2015-04-16,Pune,29.999819408611607,69.33341171920885
2015-04-17,Pune,31.60584631074273,10.17081588276949
2015-04-18,Pune,26.685788087570966,66.69823441310442
2015-04-19,Pune,29.152676307252833,71.13226933006065
2015-04-20,Pune,27.45745735630391,10.446152128568563
2015-04-21,Pune,28.58034392903748,56.72845732895523
2015-04-22,Pune,27.337137455844356,68.36496723462318
